p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,100,,,,,,0,,,,,,,0,,1.000000,0.000000
0.008772,101,,,,,,0,,,,,,,0,,1.004950,0.049505
0.009607,100,2.800415,1.039470,0.312079,-1.197919,0.230949,3,3,3.000000,0.200000,0.024104,0.487231,0.626095,100,1,1.007000,0.053395
0.010443,103,2.713696,0.168856,0.049342,-1.581663,0.113727,103,1,2.662646,0.163825,0.040093,-0.095878,0.923618,103,1,1.016505,0.089089
0.011278,113,2.475293,0.138784,0.067496,-2.596028,0.009431,113,1,2.322803,0.124439,0.040258,0.444641,0.656579,113,1,1.089086,0.298421
0.012114,129,2.596729,0.215303,0.066498,-0.285320,0.775399,55,2,2.047619,0.092238,0.050404,1.587004,0.112512,129,1,1.080342,0.217107
0.012949,164,1.749035,0.058490,0.082342,1.441403,0.149471,164,1,1.641693,0.050108,0.040957,4.785949,0.000002,164,1,1.316571,0.560545
0.013784,307,1.342955,0.019573,0.132441,7.266224,0.000000,307,1,1.259489,0.014810,0.160716,9.497861,0.000000,307,1,3.447898,2.475542
0.014620,59,2.546265,0.201307,0.060274,-1.379883,0.167623,59,1,2.505396,0.195986,0.051684,0.107078,0.914727,59,1,1.017797,0.107657
0.015455,45,,,,,,0,,2.932324,0.288054,0.018964,0.976932,0.328603,45,1,1.100000,0.309121
0.016291,14,,,,,,0,,,,,,,0,,1.035714,0.128770
0.017126,21,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017962,8,,,,,,0,,,,,,,0,,1.000000,0.000000
0.018797,6,,,,,,0,,,,,,,0,,1.000000,0.000000
0.019632,5,,,,,,0,,,,,,,0,,1.000000,0.000000
0.020468,4,,,,,,0,,,,,,,0,,1.000000,0.000000
0.021303,0,,,,,,0,,,,,,,0,,,
0.022139,0,,,,,,0,,,,,,,0,,,
0.022974,0,,,,,,0,,,,,,,0,,,
0.023810,0,,,,,,0,,,,,,,0,,,
