p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,200,,,,,,0,,,,,,,0,,1.002500,0.035267
0.008772,201,,,,,,0,,,,,,,0,,1.000000,0.000000
0.009607,202,,,,,,0,,,,,,,0,,1.007426,0.060479
0.010443,206,3.000000,0.139347,0.040645,-1.962677,0.049684,206,1,2.979419,0.137913,0.037797,-0.631611,0.527641,206,1,1.012945,0.079404
0.011278,214,2.715967,0.117301,0.035271,-1.170061,0.241977,214,1,2.645581,0.112490,0.022431,0.655462,0.512171,214,1,1.023053,0.104647
0.012114,222,2.400146,0.093972,0.069768,-2.811215,0.004935,222,1,2.285742,0.086293,0.041242,0.362869,0.716703,222,1,1.067525,0.205087
0.012949,247,2.140283,0.072554,0.070358,-0.668800,0.503623,247,1,2.037116,0.065990,0.047059,1.397249,0.162339,247,1,1.099136,0.260624
0.013784,357,1.810620,0.042903,0.037151,3.900471,0.000096,357,1,1.688661,0.036448,0.024151,5.839314,0.000000,357,1,1.321033,0.647360
0.014620,251,1.854056,0.053908,0.071069,7.170551,0.000000,251,1,1.717068,0.045261,0.056965,14.437546,0.000000,251,1,1.524570,2.007888
0.015455,131,2.957080,0.170991,0.023869,0.477471,0.633027,131,1,2.726733,0.150865,0.015639,2.241325,0.025005,131,1,1.069211,0.251235
0.016291,89,,,,,,0,,2.774194,0.188064,0.022348,0.616032,0.537873,89,1,1.091760,0.388675
0.017126,55,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017962,37,,,,,,0,,,,,,,0,,1.000000,0.000000
0.018797,19,,,,,,0,,,,,,,0,,1.000000,0.000000
0.019632,20,,,,,,0,,,,,,,0,,1.000000,0.000000
0.020468,7,,,,,,0,,,,,,,0,,1.000000,0.000000
0.021303,6,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022139,6,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022974,0,,,,,,0,,,,,,,0,,,
0.023810,1,,,,,,0,,,,,,,0,,1.000000,0.000000
0.024645,1,,,,,,0,,,,,,,0,,1.000000,0.000000
0.025480,0,,,,,,0,,,,,,,0,,,
0.026316,0,,,,,,0,,,,,,,0,,,
0.027151,0,,,,,,0,,,,,,,0,,,
0.027987,0,,,,,,0,,,,,,,0,,,
