p,gof_p_size,gof_p_duration
0.007937,,
0.008772,,
0.009607,,
0.010443,,
0.011278,,
0.012114,,
0.012949,,
0.013784,,
0.014620,,
0.015455,1.000000,1.000000
0.016291,1.000000,1.000000
0.017126,1.000000,1.000000
0.017962,1.000000,1.000000
0.018797,1.000000,1.000000
0.019632,0.779000,1.000000
0.020468,1.000000,1.000000
0.021303,1.000000,1.000000
0.022139,1.000000,1.000000
0.022974,0.991000,1.000000
0.023810,1.000000,1.000000
0.024645,1.000000,1.000000
0.025480,0.716000,1.000000
0.026316,1.000000,1.000000
0.027151,1.000000,1.000000
0.027987,0.809000,0.963000
