n_exteroceptor,vision_distance,p,n_complete,alpha_size,alpha_duration,ks_size,ks_duration,D
4,30,0.007937,100,,,,,
4,30,0.008772,100,,,,,
4,30,0.009607,100,,,,,
4,30,0.010443,100,,,,,
4,30,0.011278,100,,,,,
4,30,0.012114,100,,,,,
4,30,0.012949,101,,,,,
4,30,0.013784,101,,,,,
4,30,0.01462,105,,,,,
4,30,0.015455,117,,,,,
4,30,0.016291,128,,,,,
4,30,0.017126,233,2.55769,2.709521,0.009026,0.011157,1.7873940000000001
4,30,0.017962,2276,2.434014,2.626886,0.031267,0.035181,1.6273479999999996
4,30,0.018797,4004,1.777296,2.012215,0.028018,0.025783,0.34331199999999984
4,30,0.019632,4605,1.889617,2.204339,0.009067,0.015383,0.6184060000000002
4,30,0.020468,3987,1.969015,2.205608,0.019119,0.018538,0.7122799999999998
4,30,0.021303,2888,1.928486,2.156826,0.023788,0.025686,0.6347860000000001
4,30,0.022139,3179,2.177109,2.42652,0.027732,0.024942,1.1563030000000003
4,30,0.022974,2002,1.735902,2.16221,0.041872,0.033457,0.47344100000000006
4,30,0.02381,2678,1.931278,2.232126,0.02543,0.036049,0.724883
8,30,0.007937,100,,,,,
8,30,0.008772,100,,,,,
8,30,0.009607,100,,,,,
8,30,0.010443,101,,,,,
8,30,0.011278,100,,,,,
8,30,0.012114,100,,,,,
8,30,0.012949,102,,,,,
8,30,0.013784,100,,,,,
8,30,0.01462,104,,,,,
8,30,0.015455,111,,,,,
8,30,0.016291,110,2.95144,3.0,0.127537,0.113547,2.692524
8,30,0.017126,215,2.531104,2.802905,0.023306,0.017524,1.8748390000000001
8,30,0.017962,1706,2.217064,2.587899,0.042709,0.044846,1.3925180000000001
8,30,0.018797,3456,1.849961,2.268139,0.046704,0.03768,0.7024840000000001
8,30,0.019632,4506,1.902124,2.120738,0.017983,0.016259,0.5571039999999997
8,30,0.020468,4913,1.970747,2.262985,0.018941,0.017939,0.7706120000000001
8,30,0.021303,2484,1.85818,2.130036,0.032408,0.030843,0.5514669999999999
8,30,0.022139,3395,2.060605,2.14866,0.033386,0.032313,0.7749639999999999
8,30,0.022974,2373,1.756076,1.996703,0.026012,0.031062,0.31644700000000003
8,30,0.02381,2569,1.973139,2.234392,0.020555,0.014504,0.7425900000000001
16,30,0.007937,100,,,,,
16,30,0.008772,100,,,,,
16,30,0.009607,100,,,,,
16,30,0.010443,102,,,,,
16,30,0.011278,103,,,,,
16,30,0.012114,100,,,,,
16,30,0.012949,100,,,,,
16,30,0.013784,106,,,,,
16,30,0.01462,105,,,,,
16,30,0.015455,109,,,,,
16,30,0.016291,133,3.0,3.0,0.032754,0.040273,2.573027
16,30,0.017126,190,2.525244,2.706592,0.01397,0.022786,1.768592
16,30,0.017962,1309,2.26805,2.598404,0.071433,0.060855,1.4987420000000002
16,30,0.018797,2735,2.133693,2.590316,0.036656,0.043431,1.3040960000000001
16,30,0.019632,4966,1.910491,2.187472,0.011473,0.016763,0.626199
16,30,0.020468,5221,1.982674,2.416841,0.023776,0.022843,0.9461339999999998
16,30,0.021303,3678,1.99561,2.225696,0.020805,0.018232,0.7603430000000002
16,30,0.022139,4187,2.081207,2.311301,0.021064,0.016622,0.9301939999999999
16,30,0.022974,2687,1.730628,2.105672,0.035776,0.035583,0.40765900000000027
16,30,0.02381,2789,1.867988,2.190122,0.029513,0.029235,0.6168580000000001
32,30,0.007937,100,,,,,
32,30,0.008772,100,,,,,
32,30,0.009607,100,,,,,
32,30,0.010443,100,,,,,
32,30,0.011278,100,,,,,
32,30,0.012114,100,,,,,
32,30,0.012949,101,,,,,
32,30,0.013784,103,,,,,
32,30,0.01462,104,,,,,
32,30,0.015455,106,,,,,
32,30,0.016291,117,3.0,3.0,0.018638,0.039887,2.558525
32,30,0.017126,128,2.728198,2.580981,0.083107,0.153222,2.045508
32,30,0.017962,168,2.250952,2.381543,0.036083,0.028989,1.197567
32,30,0.018797,339,1.711273,1.868568,0.025775,0.028094,0.39657400000000004
32,30,0.019632,1708,2.258944,2.549342,0.043667,0.045563,1.3975160000000002
32,30,0.020468,3054,2.195992,2.23065,0.025766,0.026335,0.9787429999999997
32,30,0.021303,3614,2.033628,2.368344,0.036999,0.027674,0.9666450000000002
32,30,0.022139,4431,2.005421,2.253827,0.020659,0.016841,0.7967479999999999
32,30,0.022974,3569,2.088068,2.338009,0.045416,0.036941,1.0084339999999998
32,30,0.02381,3698,1.936133,2.221059,0.015526,0.015789,0.6885070000000001
2,40,0.007937,100,,,,,
2,40,0.008772,100,,,,,
2,40,0.009607,100,,,,,
2,40,0.010443,100,,,,,
2,40,0.011278,100,,,,,
