vision_distance,n_agents,n_neurons,p,sigma_eff_mean,sigma_eff_std,susceptibility_mean,susceptibility_std,entropy_mean,entropy_std
5,256,64,0.00793651,0.0,0.0,0.000999000039882958,0.0,0.011407746933400631,0.0
5,256,64,0.00877193,0.0,0.0,0.000999000039882958,0.0,0.011407746933400631,0.0
5,256,64,0.00960735,0.0,0.0,0.000999000039882958,0.0,0.011407746933400631,0.0
5,256,64,0.01044277,0.0,0.0,0.000999000039882958,0.0,0.011407746933400631,0.0
5,256,64,0.0112782,0.0,0.0,0.000999000039882958,0.0,0.011407746933400631,0.0
5,256,64,0.01211362,0.0,0.0,0.000999000039882958,0.0,0.011407746933400631,0.0
5,256,64,0.01294904,0.005833333544433117,0.017697301175221284,0.0010139450372662396,4.751508250386157e-05,0.011545060202479362,0.0004340508767470324
5,256,64,0.01378446,0.002500000037252903,0.010897247521233323,0.0010039850370958448,2.1729099084805517e-05,0.01145477844402194,0.000205005601960347
5,256,64,0.01461988,0.007500000111758709,0.017853571337396065,0.0010139550315216184,3.560000081231674e-05,0.011548841511830688,0.00033587227783793465
5,256,64,0.0154553,0.009583333693444728,0.023165318620708118,0.0010288700286764652,7.774270582839561e-05,0.01167613328434527,0.00069197332060762
5,256,64,0.01629073,0.00833333358168602,0.020069324957973343,0.0010189300286583603,5.0801901389658786e-05,0.011592091666534543,0.00046638105563919554
5,256,64,0.01712615,0.014166667126119137,0.024874686822495273,0.0010338750260416418,6.513683928183164e-05,0.011729404982179403,0.0005960584833234341
5,256,64,0.01796157,0.03963150754570961,0.05343918907514124,0.0023539751768112183,0.0038320883670441125,0.017223259108141063,0.013330348355813206
5,256,64,0.01879699,0.05857673361897468,0.07141456725740367,0.013639990094816312,0.019396571789743976,0.05412681917659938,0.06208486978546746
5,256,64,0.01963241,0.0449175201356411,0.05887256753527222,0.019585905387066303,0.028965861904218515,0.0669752836227417,0.08200635968849596
5,256,64,0.02046784,0.06001901924610138,0.080022622868371,0.03228763832594268,0.042315913777011695,0.10152170383371413,0.12045677998157124
5,256,64,0.02130326,0.06497856304049492,0.07918527581789325,0.034276393306208776,0.04129497338263323,0.10906127714551986,0.11978191108615036
5,256,64,0.02213868,0.059998856484889986,0.08602142249516874,0.032163209724240006,0.04509030609589675,0.10219603423029185,0.1304585630164109
5,256,64,0.0229741,0.07502605840563774,0.08877954446694278,0.039470659440848974,0.04405163916065937,0.1240455592982471,0.13128801211957622
5,256,64,0.02380952,0.03500900454819202,0.0572378549705719,0.017917819030117244,0.027393771271181373,0.062472242210060355,0.08311448094805206
5,256,64,0.02464495,0.04000522792339325,0.048996202607861465,0.02084592457395047,0.024631793081145444,0.07014791909605264,0.0721504510998608
5,256,64,0.02548037,0.07001541256904602,0.08428079570068736,0.032508470362517985,0.03792835273306337,0.10918314559385181,0.11779218491226713
5,256,64,0.02631579,0.05001492537558079,0.07418208273540944,0.022902019950561226,0.032542870256114756,0.0798048997297883,0.10137537080659847
5,256,64,0.02715121,0.040021493658423425,0.049016123031227765,0.017817860166542233,0.020611981265695488,0.06470381785184146,0.06527802301225546
5,256,64,0.02798663,0.06001508012413979,0.09697430033320067,0.025649892236106097,0.038476800869949306,0.09005464557558299,0.12486953182845319
10,256,64,0.00793651,0.0,0.0,0.000999000039882958,0.0,0.011407746933400631,0.0
10,256,64,0.00877193,0.0,0.0,0.000999000039882958,0.0,0.011407746933400631,0.0
10,256,64,0.00960735,0.002500000037252903,0.010897247521233321,0.0010039850370958448,2.1729099084805517e-05,0.01145477844402194,0.000205005601960347
10,256,64,0.01044277,0.002500000037252903,0.010897247521233323,0.0010039850370958448,2.172909908480552e-05,0.011454778490588069,0.00020500580493739633
10,256,64,0.0112782,0.0,0.0,0.000999000039882958,0.0,0.011407746933400631,0.0
10,256,64,0.01211362,0.002500000037252903,0.010897247521233321,0.0010039850370958448,2.1729099084805517e-05,0.011454778490588069,0.00020500580493739633
10,256,64,0.01294904,0.007500000111758709,0.017853571337396065,0.0010139550315216184,3.560000081231674e-05,0.011548841511830688,0.00033587227783793465
10,256,64,0.01378446,0.002500000037252903,0.010897247521233321,0.0010039850370958448,2.1729099084805517e-05,0.01145477844402194,0.000205005601960347
10,256,64,0.01461988,0.012500000186264515,0.02165063541723057,0.001023925025947392,4.317134224154601e-05,0.011642904533073307,0.00040730491041905833
10,256,64,0.0154553,0.005000000074505806,0.021794495042466642,0.0010089700401294977,4.345822354174221e-05,0.01150180990807712,0.00041001100094364463
10,256,64,0.01629073,0.014166667126119137,0.024874686822495273,0.0010338750202208758,6.513683348893019e-05,0.011729404935613275,0.0005960582998129212
10,256,64,0.01712615,0.07227610088884831,0.04994121580049944,0.0013515450118575245,0.00044207122220237807,0.01419578087516129,0.003046548403304912
10,256,64,0.01796157,0.09055061303079129,0.08200505439183792,0.004449820460285992,0.005270776650755807,0.02620874564163387,0.01842557067880461
10,256,64,0.01879699,0.1453367330133915,0.08081038504468874,0.03029733448056504,0.03467570279122519,0.10581507133319974,0.09147583137895074
