p,vision_distance,alpha_size,alpha_duration,ks_duration,ks_size,D
0.007937,5,,,,,
0.008772,5,,,,,
0.009607,5,,,,,
0.010443,5,,,,,
0.011278,5,,,,,
0.012114,5,,,,,
0.012949,5,,,,,
0.013784,5,,,,,
0.01462,5,,,,,
0.015455,5,,,,,
0.016291,5,,,,,
0.017126,5,,,,,
0.017962,5,2.736401,2.915991,0.02713,0.026697,2.206219
0.018797,5,2.8073,2.66001,0.078813,0.081346,2.127469
0.019632,5,2.864136,2.89812,0.071385,0.078794,2.4124349999999994
0.020468,5,2.926831,2.618408,0.118677,0.076354,2.2402699999999998
0.021303,5,2.9354,2.748193,0.104715,0.082413,2.370721
0.022139,5,2.798218,2.83916,0.083416,0.085227,2.3060210000000003
0.022974,5,2.948291,2.937158,0.077982,0.070974,2.5344050000000005
0.02381,5,2.937861,2.739624,0.10001,0.098093,2.375588
0.024645,5,2.556715,2.638598,0.092228,0.074767,1.862308
0.02548,5,2.887274,2.997108,0.08017,0.086522,2.551074
0.026316,5,2.825009,2.638319,0.097151,0.10049,2.1609690000000006
0.027151,5,2.640035,2.53875,0.126497,0.119125,1.924407
0.027987,5,2.935157,2.949967,0.084426,0.075561,2.545111
0.007937,10,,,,,
0.008772,10,,,,,
0.009607,10,,,,,
0.010443,10,,,,,
0.011278,10,,,,,
0.012114,10,,,,,
0.012949,10,,,,,
0.013784,10,,,,,
0.01462,10,,,,,
0.015455,10,,,,,
0.016291,10,,,,,
0.017126,10,3.0,3.0,0.103052,0.073062,2.676114
0.017962,10,2.499829,2.685498,0.017519,0.019422,1.7222680000000001
0.018797,10,2.809497,2.910938,0.055102,0.03766,2.3131969999999997
0.019632,10,2.918481,2.692603,0.07418,0.01845,2.203714
0.020468,10,2.958691,2.937817,0.083341,0.076067,2.555916
0.021303,10,2.87981,2.790894,0.083701,0.066351,2.3207560000000003
0.022139,10,2.894751,2.895996,0.081644,0.076299,2.4486899999999996
0.022974,10,2.988579,2.980957,0.069401,0.039834,2.578771
0.02381,10,2.809009,2.749838,0.087263,0.063191,2.209301
0.024645,10,2.900673,2.900209,0.04881,0.014961,2.3646529999999997
0.02548,10,2.864793,2.948939,0.048442,0.030799,2.3929730000000005
0.026316,10,2.801918,2.963672,0.042877,0.01712,2.3255869999999996
0.027151,10,2.988913,2.806936,0.077635,0.05531,2.428794
0.027987,10,2.678549,2.981937,0.03878,0.028601,2.227867
0.007937,15,,,,,
0.008772,15,,,,,
0.009607,15,,,,,
0.010443,15,,,,,
0.011278,15,,,,,
0.012114,15,,,,,
0.012949,15,,,,,
0.013784,15,,,,,
0.01462,15,,,,,
0.015455,15,,,,,
0.016291,15,3.0,3.0,0.073183,0.073183,2.6463660000000004
0.017126,15,3.0,3.0,0.066582,0.090542,2.657124
0.017962,15,2.180859,2.391724,0.02129,0.017427,1.1113
0.018797,15,2.683521,2.684326,0.060411,0.059106,1.987364
0.019632,15,2.653311,2.861792,0.048233,0.008352,2.071688
0.020468,15,2.636506,2.965137,0.021911,0.014981,2.1385349999999996
0.021303,15,2.313822,2.939209,0.042468,0.044654,1.840153
0.022139,15,2.525628,2.936338,0.020331,0.019617,2.001914
0.022974,15,2.345831,2.764077,0.032791,0.025521,1.6682199999999998
0.02381,15,2.890061,2.905188,0.031414,0.021364,2.348027
0.024645,15,2.411047,2.740751,0.013338,0.012314,1.6774499999999999
0.02548,15,2.289953,2.639675,0.014769,0.01641,1.4608070000000002
0.026316,15,2.688304,2.993622,0.02203,0.018142,2.222098
0.027151,15,2.554181,2.994884,0.017957,0.013405,2.080427
0.027987,15,2.254338,2.95465,0.036527,0.024023,1.769538
0.007937,20,,,,,
0.008772,20,,,,,
0.009607,20,,,,,
0.010443,20,,,,,
0.011278,20,,,,,
0.012114,20,,,,,
0.012949,20,,,,,
0.013784,20,,,,,
0.01462,20,,,,,
0.015455,20,,,,,
0.016291,20,,,,,
0.017126,20,2.7323,2.885596,0.059247,0.102611,2.279754
