vr,G_mean,G_std,g_mean,g_std
25,0.017686050415039064,0.0027271349744086054,0.054279296875,0.015411916066142912
30,0.03767515563964844,0.00981006972510616,0.1032734375,0.03429993490763457
35,0.11393975830078125,0.05278472073263888,0.237423828125,0.09551546650615506
40,0.5047393493652343,0.20148702038652927,0.655017578125,0.1876490683370099
45,0.9141367645263672,0.08629253068226327,0.9530390625,0.05496185589140294
50,0.9869130096435547,0.022439079701698613,0.993298828125,0.01180085802353171
55,0.9975521545410156,0.008111975510091504,0.9987578125,0.004175991356383985
60,0.9995855560302734,0.002594900088767547,0.999791015625,0.0013168046388083198
65,0.9999340057373047,0.0008983543055566985,0.999966796875,0.00045264909680014213
70,0.9999961090087891,0.00017396690890678646,0.999998046875,8.732456603948501e-05
75,1.0,0.0,1.0,0.0
80,1.0,0.0,1.0,0.0
85,1.0,0.0,1.0,0.0
90,1.0,0.0,1.0,0.0
95,1.0,0.0,1.0,0.0
100,1.0,0.0,1.0,0.0
150,1.0,0.0,1.0,0.0
200,1.0,0.0,1.0,0.0
250,1.0,0.0,1.0,0.0
